,,,New York Life Insurance,51 Madison Ave.,New York,New York,10010,,
,,,Oracle,500 Oracle Pkwy.,Redwood City,California,94065,,
,,,Morgan Stanley,1585 Broadway,New York,New York,10036,,
,,,Tyson Foods,2200 Don Tyson Pkwy.,Springdale,Arkansas,72762,,
,,,Safeway,5918 Stoneridge Mall Rd.,Pleasanton,California,94588,,
,,,Nationwide,1 Nationwide Blvd.,Columbus,Ohio,43215,,
,,,Deere,1 John Deere Place,Moline,Illinois,61265,,
,,,DuPont,1007 Market St.,Wilmington,Delaware,19898,,
,,,American Express,200 Vesey St.,New York,New York,10285,,
,,,Allstate,2775 Sanders Rd.,Northbrook,Illinois,60062,,
,,,Cigna,900 Cottage Grove Rd.,Bloomfield,Connecticut,6002,,
,,,Mondelez International,3 Pkwy. N.,Deerfield,Illinois,60015,,
,,,TIAA-CREF,730 Third Ave.,New York,New York,10017,,
,,,INTL FCStone,708 Third Ave.,New York,New York,10017,,
,,,Massachusetts Mutual Life Insur,1295 State St.,Springfield,Massachusetts,1111,,
,,,DirecTV,2260 E. Imperial Hwy.,El Segundo,California,90245,,
,,,Halliburton,3000 N. Sam Houston Pkwy E.,Houston,Texas,77032,,
,,,Twenty-First Century Fox,1211 Ave. of the Americas,New York,New York,10036,,
,,,3M,3M Center,St. Paul,Minnesota,55144,,
,,,Sears Holdings,3333 Beverly Rd.,Hoffman Estates,Illinois,60179,,
,,,General Dynamics,2941 Fairview Park Dr.,Falls Church,Virginia,22042,,
,,,Publix Super Markets,3300 Publix Corporate Pkwy.,Lakeland,Florida,33811,,
,,,Philip Morris International,120 Park Ave.,New York,New York,10017,,
,,,TJX,770 Cochituate Rd.,Framingham,Massachusetts,1701,,
,,,Time Warner,1 Time Warner Center,New York,New York,10019,,
,,,Macy's,7 W. Seventh St.,Cincinnati,Ohio,45202,,
,,,Nike,1 Bowerman Dr.,Beaverton,Oregon,97005,,
,,,Tech Data,5350 Tech Data Dr.,Clearwater,Florida,33760,,
,,,Avnet,2211 S. 47th St.,Phoenix,Arizona,85034,,
,,,Northwestern Mutual,720 E. Wisconsin Ave.,Milwaukee,Wisconsin,53202,,
,,,McDonald's,1 McDonald's Plaza,Oak Brook,Illinois,60523,,
,,,Exelon,10 S. Dearborn St.,Chicago,Illinois,60603,,
,,,Travelers Cos.,485 Lexington Ave.,New York,New York,10017,,
,,,Qualcomm,5775 Morehouse Dr.,San Diego,California,92121,,
,,,International Paper,6400 Poplar Ave.,Memphis,Tennessee,38197,,
,,,Occidental Petroleum,10889 Wilshire Blvd.,Los Angeles,California,90024,,
,,,Duke Energy,550 S. Tryon St.,Charlotte,North Carolina,28202,,
,,,Rite Aid,30 Hunter Lane,Camp Hill,Pennsylvania,17011,,
,,,Gilead Sciences,333 Lakeside Dr.,Foster City,California,94404,,
,,,Baker Hughes,2929 Allen Pkwy.,Houston,Texas,77019,,
,,,Emerson Electric,8000 W. Florissant Ave.,St. Louis,Missouri,63136,,
,,,EMC,176 South St.,Hopkinton,Massachusetts,1748,,
,,,USAA,9800 Fredericksburg Rd.,San Antonio,Texas,78288,,
,,,Union Pacific,1400 Douglas St.,Omaha,Nebraska,68179,,
,,,Northrop Grumman,2980 Fairview Park Dr.,Falls Church,Virginia,22042,,
,,,Alcoa,390 Park Ave.,New York,New York,10022,,
,,,Capital One Financial,1680 Capital One Dr.,McLean,Virginia,22102,,
,,,National Oilwell Varco,7909 Parkwood Circle Dr.,Houston,Texas,77036,,
,,,US Foods,9399 W. Higgins Rd.,Rosemont,Illinois,60018,,
